Gene,Ensembl ID,Gene Description,Synonym,OMIM ID,Functio l Summary from Literature,Ciliary Localization,Reference,Protein complexes,Gene annotation
EHD3,ENSG00000013016,EH domain containing 3 [Source:HGNC Symbol;Acc:HGNC:3244],PAST3,605891,Function in early ciliogenesis by causing mother centriole reorganisation. Regulation of membrane tubulation required for ciliary vesicle formation from smaller distal appendage vesicles. EHD1 and EHD3 bind to the Rab8 effector MICAL-L1 and affect membrane tubulo-vesicle formation and scission (25686250).,"cilia,transition zone",29257953; 29733335; 15385169.,NA,NA
ENKUR,ENSG00000151023,"enkurin, TRPC channel interacting protein [Source:HGNC Symbol;Acc:HGNC:28388]",C10ORF63; CFAP106; ENKURIN; MGC26778,611025,"Required for patterning the left/right axis in vertebrates. Mutations in humans cause situs inversus (29257953). Potential role as a Ca2+ sensor that participates in the regulation of mammalian flagellar bending (29733335, 15385169).",basal body,27767179,NA,NA
ENTR1,ENSG00000165689,endosome associated trafficking regulator 1 [Source:HGNC Symbol;Acc:HGNC:10667],NY-CO-3; SDCCAG3,618289,"Interacts with the intraflagellar transport protein 88 (IFT88), involved in ciliogenesis and intraciliary transport. Required for ciliary localization of Polycystin-2, mediating the transport of Polycystin-2 from the ciliary base into the cilium (27767179).","basal body, cilia",17660199; 23026747; 22986504; 21356043,NA,NA
EVC,ENSG00000072840,EvC ciliary complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:3497],DWF-1; EVC1,604831,"Positive regulator of the Hh sig lling pathway, interacting with Smo and promoting Sufu/Gli3 dissociation and Gli3 ciliary traffic (17660199, 23026747, 21356043, 22986504). Mutated in Ellis- van Creveld syndrome (21356043). EVC1 and EVC2 are mutually required for localizing to primary cilia and also for maintaining their normal protein levels (23026747).","basal body, cilia, transition zone",17660199; 23026747; 22986504; 21356043; 22981989,NA,NA
EVC2,ENSG00000173040,EvC ciliary complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19747],LBN,607261,"Positive regulator of the Hh sig lling pathway, interacting with Smo and promoting Sufu/Gli3 dissociation and Gli3 ciliary traffic (17660199, 23026747, 21356043, 22986504,22981989). Mutated in Ellis-van Creveld syndrome (21356043). EVC1 and EVC2 are mutually required for localizing to primary cilia and also for maintaining their normal protein levels (23026747).",cilia,19005211; 19454479.,NA,NA
EXOC3,ENSG00000180104,exocyst complex component 3 [Source:HGNC Symbol;Acc:HGNC:30378],SEC6; SEC6L1,608186,"Also known as SEC6. Inhibition of ciliary shedding, blocks deciliation-associated down-regulation of claudin-2 and gp135 (PMID:19005211). Sec6/8 complex cooperates with cooperate with syntaxin 3 and S P-25, ceing a candidate effector for Rab8 at the rhodopsin transport carriers (RTC) docking site (19454479)",cilia,19454479; 18552847,Exocyst complex,NA
EXOC4,ENSG00000131558,exocyst complex component 4 [Source:HGNC Symbol;Acc:HGNC:30389],KIAA1699; MGC27170; SEC8; SEC8L1; SEC8P,608185,"Also known as SEC8. Sec6/8 complex cooperates with cooperate with syntaxin 3 and S P-25, ceing a candidate effector for Rab8 at the rhodopsin transport carriers (RTC) docking site (19454479). Together with Dvl and Rho, Sec8 is required for regulating the docking and mainte nce of basal bodies to the apical plasma membrane in multi-ciliated cells (18552847).",cilia,19297529; 30824539; 21490950,Exocyst complex,NA
EXOC5,ENSG00000070367,exocyst complex component 5 [Source:HGNC Symbol;Acc:HGNC:10696],SEC10; SEC10L1; SEC10P,604469,"Also known as SEC10. Central and particularly important exocyst component required for exocyst formation and function. Regulation of primary ciliogenesis and cystogenesis through interactions with Par3 (19297529, 30824539). Linker for other exocyst components, and interacts with polycystin-2, IFT20 and IFT88. Dysfunction may contribute to ciliopathies including autosomal domi nt polycystic kidney disease ADPKD (21490950).",cilia,22433857; 23435566,Exocyst complex,NA
EXOC6,ENSG00000138190,exocyst complex component 6 [Source:HGNC Symbol;Acc:HGNC:23196],DKFZP761I2124; EXOC6A; FLJ1125; MGC33397; SEC15; SEC15L; SEC15L1,609672,"Also known as Sec15. Interacts with Rabin8 and is a downstream effector of Rab8. Rabin8-Rab8-Sec15 interaction is involved in the regulation of vesicular trafficking, tethering, and fusion for primary cilium formation. Disruption of function of Sec15 leads to a block of endosomal recycling and impaired ciliogenesis (22433857, 23435566).",cilia,23435566,Exocyst complex,NA
EXOC6B,ENSG00000144036,exocyst complex component 6B [Source:HGNC Symbol;Acc:HGNC:17085],KIAA0919; SEC15B; SEC15L2,607880,Also called sec15b. Interacts with Rabin8 which is crucial for ciliogenesis by switching binding specificity from phosphatidylserine to Sec15. Depletion decreases the number of ciliated cells.,cillia,30008323,NA,NA
EZH2,ENSG00000106462,enhancer of zeste 2 polycomb repressive complex 2 subunit [Source:HGNC Symbol;Acc:HGNC:3527],ENX-1; EZH1; KMT6; KMT6A,601573,"Methyltransferase unit of PRC2. EZH2 suppresses genes functio lly connected to the primary cilium, promoting loss of primay cilia; inhibition induces primary cilium formation in most melanoma cell. Loss of cilia","basal body,cilia",27528616; 30395363,NA,NA
FAM149B1,ENSG00000138286,family with sequence similarity 149 member B1 [Source:HGNC Symbol;Acc:HGNC:29162],KIAA0974,618413,Required for normal ciliary biology and that its deficiency results in impaired ciliary structure and a range of ciliopathy phenotypes in humans along the spectrum of Joubert syndrome.,"basal body,cilia",22940612; 24664697; 22791751; 20705278.,NA,NA
FAM161A,ENSG00000170264,FAM161 centrosomal protein A [Source:HGNC Symbol;Acc:HGNC:25808],FLJ13305; RP28,613596,"Causative gene for retinitis pigmentosa (20705278). Reti l ciliopathy protein that is part of connecting cillium complex. Interacts with CEP290, lebercin, OFD1 and SDCCAG8. These interactions suggest that FAM161A could be involved in protein transport and docking between the inner segments and outer plexiform layer (22940612). Component of microtubule- organizing centers that associates with the intracellular microtubule network to increase the acetylation of 伪-tubulin. Involved in microtubule stabilization to maintain the microtubule tracks and/or in transport processes along cytoplasmic and ciliary microtubules (24664697, 22791751).","basal body ,",30279523,NA,NA
FANK1,ENSG00000203780,fibronectin type III and ankyrin repeat domains 1 [Source:HGNC Symbol;Acc:HGNC:23527],NA,611640,Regulator of multiciliated cell differentiation in the mouse airway epithelium.,"basal body, transition zone",24231678; 30318703.,NA,NA
FBF1,ENSG00000188878,Fas binding factor 1 [Source:HGNC Symbol;Acc:HGNC:24674],ALB; FBF-1; FLJ00103; KIAA1863,616807,Transition fiber protein required for ciliogenesis and the ciliary import of assembled intraflagellar transport particles at the cilia base (24231678). Functions in centriole duplication by recruiting,cilia,30782830; 29040558; 29360984.,Distal appendage,NA
FGFR3,ENSG00000068078,fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690],ACH; CD333; CEK2; JTK4,134934,"Interacts with ICK to regular驴te ciliogenesis and control ciliary length (30782830). FGFR3 sig ling affects the elongation process of the primary cilia. Constitutively active FGFR3 perturbed cilia length, sorting and trafficking of intraflagellar transport 20 (29040558). Mutations in FGFR3 lead to short primary cilia, and constitutive activation of FGFR3 sig ling produces the skeletal disorders achondroplasia and tha tophoric dysplasia (29360984).",basal body,29742020,NA,NA
FHDC1,ENSG00000137460,FH2 domain containing 1 [Source:HGNC Symbol;Acc:HGNC:29363],INF1; KIAA1727,620268,"Coordi tion of cytoskeletal dy mics during normal cilia assembly. Interacts with CEP170 to regulare cilia elongation and inhibition of cilia assembly. Overexpression of FHDC1 induces F-actin accumulation, microtubule stabilization, blocks cilia assembly and induces cilia resorption (29742020).",cilia,27072130; 23784378,NA,NA
FLCN,ENSG00000154803,folliculin [Source:HGNC Symbol;Acc:HGNC:27310],BHD; DENND8B; MGC17998; MGC23445,607273,"Part of the mechanosensory machinery of primary cilia. Tumor suppressor associated with Birt-Hogg-Dub茅 (BHD) syndrome. Down-regulation of mTORC1 sig ling pathway through primary cilia, it recruits and associates with LKB1 and recruits the ki se to primary cilia for activation of AMPK (27072130). FLCN expression levels are critically important for correct timing of ciliogenesis and intracellular transport events involved in ciliogenesis (23784378).","basal body, transition zone",22121117; 28973524,NA,NA
FNBP1L,ENSG00000137942,formin binding protein 1 like [Source:HGNC Symbol;Acc:HGNC:20851],C1ORF39; FLJ20275; TOCA1,608848,"TOCA1. Target of miR-129-3p in ciliation-related actin dy mics, which induces ciliation in proliferating cells and also promoted cilia elongation (22684256). Binds to Cdc42, leading to actin rearrangements, which are thought to be involved in processes such as endocytosis (27129201).",basal body,26643951; 20551181; 28694353,NA,NA
FOXN4,ENSG00000139445,forkhead box N4 [Source:HGNC Symbol;Acc:HGNC:21399],NA,609429,"Downstream target of Multicilin required for multiciliated cells differentiation (MCC). Complements Foxj1 transcriptio lly by co- activating Foxj1 target genes. Ensures robust gene expression during MCC differentiation, allowing large numbers of specialized organelles to be assembled.",basal body,30538248,NA,Transcription factors
FSD1,ENSG00000105255,fibronectin type III and SPRY domain containing 1 [Source:HGNC Symbol;Acc:HGNC:13745],MGC3213; MIR1,609828,"Anchors microtubules asters to interphase centrosomes by directly binding microtubules to mother centriole, and controls transition zone assembly during ciliogenesis",cilia,30137358; 30867909.,NA,NA
FSIP2,ENSG00000188738,fibrous sheath interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:21675],FLJ34780,615796,"Major structural protein of the fibrous sheath (FS) shown to bind to AKAP4, required for FS assembly. Regulaties PKA anchoring to AKAP4. Involved in the control of sperm flagellum elasticity and sig ling pathways that regulate sperm motility. Mutations in FSIP2 are a recurrent cause of multiple morphological abnormalities of the sperm flagella.","basal body,cilia",28852127,NA,NA
FUZ,ENSG00000010361,fuzzy pla r cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219],CPLANE3; FLJ22688; FY,610622,"Critical regulator of cilia structure and function. Trafficking and localisation of retrograde, but not anterograde, intraflagellar transport proteins, governing their traffic from the cytoplasm to the basal body and then to the ciliary tip, representing a role in maintaining ciliary trafficking to the distal axoneme (22778277).",basal body,24226769,NA,NA
GALR2,ENSG00000182687,galanin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4133],GALNR2,603691,Neuro l ciliary GPCR. Galanin receptor.,cilia,26167768,NA,NA
GALR3,ENSG00000128310,galanin receptor 3 [Source:HGNC Symbol;Acc:HGNC:4134],NA,603692,Neuro l ciliary GPCR. Galanin receptor.,"basal body , cilia",30665704,NA,NA
GAS2L2,ENSG00000270765,growth arrest specific 2 like 2 [Source:HGNC Symbol;Acc:HGNC:24846],GAR17,611398,"Alignment of basal bodies. Mediation of the crosstalk between microtubules, actin filaments, and the basal body. Mutations cause poorly aligned cilia, hyperkinetic ciliary beat, and primary ciliary dyskinesia.","basal body , cilia",27472056; 21659505,NA,NA
GAS8,ENSG00000141013,growth arrest specific 8 [Source:HGNC Symbol;Acc:HGNC:4166],DRC4; GAS11,605178,Role in ciliary motility. Implicated in the Hh sig ling pathway by binding to Smo and regulating its traficking into the cilium (21659505). Mutations are associated with human disease as a cause of severe PCD phenotypes (27472056).,cilia,21209912,NA,NA
GLI1,ENSG00000111087,GLI family zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:4317],GLI,165220,Hedgehog sig ling pathway effector. GLI1 activation depends on cilia.,"basal body , cilia",21209912; 30463852,NA,Hedgehog signaling; Transcription factors
GLI2,ENSG00000074047,GLI family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4318],HPE9; THP1; THP2,165230,Hedgehog sig ling pathway effector. Cilia or interflagellar transport proteins are required for GLI2 function and regulation (21209912). Regulates autophagy- mediated Ofd1 removal to control primary cilia formation and length (30463852).,"basal body , cilia",21209912,NA,Hedgehog signaling; Transcription factors
GLI3,ENSG00000106571,GLI family zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:4319],ACLS; GCPS; PAP-A; PAPA; PAPA1; PAPB; PHS; PPDIV,165240,Hedgehog sig ling pathway effector. Loss of Polaris results in inefficient Gli3 processing. Inhibit Gli1- mediated transcription.,cilia,11741991; 27181777; 24069149.,DZIP1-GLI3 complex; EMX1-GLI3-WDR11 complex,Hedgehog signaling; Transcription factors
GLIS2,ENSG00000126603; ENSG00000274636,GLIS family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:29450],NPHP7,608539,"Bifunctio l transcriptio l regulator, either as an activator and a repressor (11741991). Repressor of Hh sig ling. Loss of function causes nephronophthisis-like phenotype (27181777). Involved in epithelial-to- mesenchymal transition, fibrosis and apoptosis. Together with BBS1, GLIS2 (also called NPHP7) is required for normal ciliary motility, responsible for body assymmetry (24069149).",basal body,26933123; 26882546.,NA,NA
GMNC,ENSG00000205835,geminin coiled-coil domain containing [Source:HGNC Symbol;Acc:HGNC:40049],GEMC1,614448,"Also known as GEMC1. Regulator of multiciliated cells differentiation, interacting with E2F4/5鈥怐P1 and Multicilin. Candidate gene for human reduced generation of multiple motile cilia RGMC (26933123). It transactivates the McIdas and FoxJ1 upstream regulatory sequences, markers of ciliogenesis (26882546).",cilia,26034134; 27481943,NA,NA
G T1,ENSG00000114349,G protein subunit alpha transducin 1 [Source:HGNC Symbol;Acc:HGNC:4393],CSNBAD3,139330,Subunit of transducin. Localises to photoreceptor outer segment. Requires RP2 for normal localisation,cilia,26034135; 30970040,NA,NA
GOLGB1,ENSG00000173230,golgin B1 [Source:HGNC Symbol;Acc:HGNC:4429],GCP; GCP372; GIANTIN; GOLIM1,602500,"Required for ciliogenesis and control of ciliary length, through the lregulation of pericentrosomal location of the dynein-2 intermediate chain WDR34. Depletion results in cilia number and structure (fewer but longer cilia) (28546340, 24046448).",cilia,23578785,NA,NA
GPBAR1,ENSG00000179921,G protein-coupled bile acid receptor 1 [Source:HGNC Symbol;Acc:HGNC:19680],BG37; GPCR; GPCR19; GPR131; M-BAR; MGC40597; TGR5,610147,"Also known as TGR5. Linked to ERK sig ling, which is activated in ciliated cholangiocytes but inhibited in nonciliated cholangiocytes. Involved in bile acid-induced proliferation of nonciliated cells. Its localisation allows cholangiocyte functio l responses to bile acid sig ling.",cilia,23332756,NA,GPCRs
GPR161,ENSG00000143147,G protein-coupled receptor 161 [Source:HGNC Symbol;Acc:HGNC:23694],RE2,612250,"GPR161 increases cAMP levels, establishing the basal cAMP gradient and activation of PKA. Repression of Shh sig ling by determining the processing of Gli3 to its repressor form (23332756).","basal body , cilia  , transition zone",26167768,NA,GPCRs
GPR173,ENSG00000184194,G protein-coupled receptor 173 [Source:HGNC Symbol;Acc:HGNC:18186],SREB3,300253,Also known as SREB3. Neuro l ciliary GPCR which may play sensory or sig lling roles in the ciliary vesicle or procilium during ciliogenesis,"basal body , cilia",26167768,NA,GPCRs
GPR20,ENSG00000291465; ENSG00000204882; ENSG00000275181,G protein-coupled receptor 20 [Source:HGNC Symbol;Acc:HGNC:4475],NA,601908,Neuro l ciliary GPCR,cilia,25335082,NA,GPCRs
GPR22,ENSG00000283812; ENSG00000172209,G protein-coupled receptor 22 [Source:HGNC Symbol;Acc:HGNC:4477],NA,601910,Regulation of Left-Right asymmetry through the Kupffer鈥檚 vesicle (KV) and mantains cilia length and structure in KV.,cilia,24316073,NA,GPCRs
GPR83,ENSG00000123901,G protein-coupled receptor 83 [Source:HGNC Symbol;Acc:HGNC:4523],GPR72,605569,"Suggested to belong to NPY receptor family, which shares common determi nts for ciliary trafficking","basal body , cilia",23936473,NA,GPCRs
GPR88,ENSG00000181656,G protein-coupled receptor 88 [Source:HGNC Symbol;Acc:HGNC:4539],NA,607468,"Regulation of D1 dopamine receptor (D1R) sig ling to inhibit cAMP accumulation, whitout affecting B2AR- mediated response.",basal body,23954591,NA,GPCRs
GPSM1,ENSG00000160360,G protein sig ling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858],AGS3; DKFZP727I051,609491,Also known as AGS3. Regulation fo G尾gamma sig ling pathway to recruits phospho(T94)Tctex-1 to the transition zone. Stabilises the GDP-bound form of G伪i wit IGF-1R to prevent its re- association with G尾gamma and mantain it free.,cilia,25422369; 25550383,NA,NA
GRK2,ENSG00000173020,G protein-coupled receptor ki se 2 [Source:HGNC Symbol;Acc:HGNC:289],ADRBK1; BARK1,109635,"Positive regulation of Sonic Hedgehog sig ling, regulating phosphorylation events required for ciliary accumulation and activation of smoothened (21695114 ). Modulates dy mic intracellular trafficking of Smo and contributes to the positive effect of Gas8 on Smo sig ling. Modulates microtubule organisation through the phosphorylation of cytoplasmic tubulin or other proteins (21659505).",cilia,23185275; 17450132; 21317289,NA,NA
GSK3B,ENSG00000082701,glycogen synthase ki se 3 beta [Source:HGNC Symbol;Acc:HGNC:4617],NA,605004,"Involved in primary cilia elongation, microtubule assembly, stability and dy mics. Modulates CRMP- 2 ciliary localisation, and its ephosphorylated state is required for ciliary function (23185275). Ciliary- mainte nce sig lling network, its disruption causes loss of cilia (17450132). Phosphorylates Sufu and stabilises it against Shh sig ling-induced degradation (21317289).",basal body,21985783,NA,NA
HAP1,ENSG00000173805,huntingtin associated protein 1 [Source:HGNC Symbol;Acc:HGNC:4812],HAP2; HHLP1; HIP5; HLP,600947,HTT-HAP1-dy ctin complex facilitates microtubule dependent vesicular transport. Regulates PCM1 trafficking and interacts with and huntingtin to control ciliogenesis. Depletion leads to dispersion of PCM1 from centrosomes and reduced ciliogenesis in cells. (21985783).,basal body,18273441; 17205356; 20375059,AHI1-HAP1 complex,NA
HAVCR1,ENSG00000113249,hepatitis A virus cellular receptor 1 [Source:HGNC Symbol;Acc:HGNC:17866],CD365; HAVCR; HAVCR-1; KIM1; TIM-1; TIM1; TIMD1,606518,Also known as KIM1. Biomarker of proximal tubular injury. Depletion does not disturb cilia formation (20375059). Modulates cilary calcium sig ling and plays a role in ciliary flow sensing (18273441: 17205356).,cilia,17604723; 24026243; 24200693,NA,NA
HDAC6,ENSG00000094631,histone deacetylase 6 [Source:HGNC Symbol;Acc:HGNC:14064],FLJ16239; HD6; JM21; KDAC6; KIAA0901; PPP1R90,300272,"Regulation of ciliary resorption in response to extracelullar stress and it is also a downstream AurA effector. Destabilises the microtubular axoneme through deacetylation of tubulin, which promotes ciliary disassembly (17604723, 24026243). Mediates an autophagy- dependent mechanism called ciliophagy (24200693)",basal body,24378640,NA,NA
HSD11B1,ENSG00000117594,hydroxysteroid 11-beta dehydroge se 1 [Source:HGNC Symbol;Acc:HGNC:5208],HSD11; HSD11B; SDR26C1,600713,oxysterol synthase HSD11尾2 participates in the production of Smoothened-activating cilia-localised oxysterols and promotes Hedgehog pathway activity.,"transition zone, basal body",30881373; 25359884,NA,NA
HSP90AA1,ENSG00000080824,heat shock protein 90 alpha family class A member 1 [Source:HGNC Symbol;Acc:HGNC:5253],FLJ31884; HSP89; HSP90; HSP90N; HSPC1; HSPCA; HSPCAL4,140571,Effector protein in the FOXJ1 regulatory network (30881373). Hsp90伪 shows chaperone activity that might facilitate protein assembly and disassembly during ciliogenesis. Phosphorylated Hsp90伪 is likely to be a component of the distal appendages in the mother centriole (25359884).,basal body,19302411,NA,Heat shock proteins
HSPA8,ENSG00000109971,heat shock protein family A (Hsp70) member 8 [Source:HGNC Symbol;Acc:HGNC:5241],HSC70; HSC71; HSP73; HSPA10,600816,"Also called HSC70. Function in the formation or stabilization of IFT-cargo complexes working with MRJ. It may bind directly to IFT88 or to one or more additio l TPR containing proteins within the IFT particle, which in turn recruit MRJ bound cargo proteins (19302411).","basal body, transition zone, cilia",28430876; 28964737; 26023097; 22595669; 30709917.,"ZMYND10 complex, cytoplasmic",Heat shock proteins
HTR6,ENSG00000158748,5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301],5-HT6; 5-HT6R,601109,"Also known as 5-HT6. Regulates length, morphology and function of neuro l primary cilia through ARL13B, influences cilia and axon initial segment. Involved in cognition and Alzheimer鈥檚 disease development (28931427). E ble chemosensory functions in ciliated neurons to sense 5- HT in the immediate milieu (10432491).","basal body,  cilia",26160070; 21985783.,NA,NA
HTT,ENSG00000197386,huntingtin [Source:HGNC Symbol;Acc:HGNC:4851],HD; IT15,613004,Mutated in Huntington's Disease. Scaffolding protein required for vesicular transport via interactions with microtubules and motor protein cargo adaptors such as HAP1 and dy ctin. Functio l role in autophagy (26160070). Essential for protein trafficking to the centrosome and normal ciliogenesis. Retrograde trafficking of PCM1 regulated by HTT and HAP1 to control ciliogenesis (21985783).,cilia,17296796; 23022101; 18250199.,NA,Neurodevelopment Synaptic
HYDIN,ENSG00000157423,HYDIN axonemal central pair apparatus protein [Source:HGNC Symbol;Acc:HGNC:19368],CILD5; DKFZP434D0513; KIAA1864; PPP1R31,610812,"Candidate for hydrocephalus in humans and primary ciliary dyskinesia (23022101). Interacts with the central pair proteins CPC1 and kinesin- like protein 1 (KLP1). Required for flagellar motility. Regulation of contact with the radial spokes dynein arm activity (17296796). Lack of Hydin causes deficiency on ciliary orientation and reduced alignment of neighboring cilia, as it is involved in regulating the dynein arms during the transitions between effective and recovery strokes (18250199).","basal body, basal body",28411189; 32509774; 19656802,NA,NA
HYLS1,ENSG00000198331,HYLS1 centriolar and ciliogenesis associated [Source:HGNC Symbol;Acc:HGNC:26558],FLJ32915,NA,"Required for intraflagellar transport trafficking and for centrioles to form cilia. Loss of HYLS-1 results in severe defects in axoneme assembly and transition zone organisation, due to impaired entry of IFT machinery to the cilia via DYF-19 (28411189). Ciliogenesis mediation by regulating the formation of the ciliary gate; minor role in transition zone assembly. Required for distal centriole elongation and recruiting distal centriole proteins (32509774). Essential for the apical targeting and/or anchoring of centrioles/basal body at the plasma membrane, contributin to basal body organisation (19656802).","basal body, cilia",21209331; 27681595; 29220510.,NA,NA
IFT122,ENSG00000163913,intraflagellar transport 122 [Source:HGNC Symbol;Acc:HGNC:13556],CFAP80; FAP80; SPG; WDR10; WDR10P; WDR140,606045,"Negative regulator of the Shh pathway, controlling the ciliary localization of Shh pathway activators and repressors. Loss of IFT122 causes accumulation of Gli2 and Gli3 at cilia tips. Function in retrograde intraflagellar transport (ITF) that facilitates complex A stability (21209331). Required for transport of opsin, and the distal elongation of outer segments (27681595). IFT122 connects the core and peripheral subcomplexes of the IFT-A (29220510).","cilia, basal body",23418020; 29236364; 24619649.,Intraflagellar transport complex A,Ciliary function
IFT140,ENSG00000187535,intraflagellar transport 140 [Source:HGNC Symbol;Acc:HGNC:29077],GS114; KIAA0590; WDTC2,614620,"Component of IFT-A complex, mutated in skeletal ciliopathies with kidney disease (23418020). Associates with IFT122 and IFT144 to a stable IFT-A core subcomplex; indispensable for dynein proteins retrograde transport into the cytoplasm and flagellar assembly. Required for development and mainte nce of outer segments, ciliary/flagellar assembly and sig l transduction (29236364, 24619649).","cilia, basal body",29659833; 31850339; 18930042; 25168386.,Intraflagellar transport complex A,Ciliary function
IFT172,ENSG00000138002,intraflagellar transport 172 [Source:HGNC Symbol;Acc:HGNC:30391],BBS20; NPHP17; OSM-1; SLB; WIM,607386,"Component of IFT complex B. Involved in the switching between the anterograde and retrograde transport (29659833). Essential for ciliary growth and mainte nce, and morphogenesis of the cerebral cortex. Mutation cause alterations in multiple intracellular sig ling pathways (31850339, 18930042). Mutations are associated with severe skeleto-re l disorders with reti l involvement (25168386).","cilia, basal body",12821668; 16775004; 27682589,Intraflagellar transport complex B; Intraflagellar transport complex B peripheral subcomplex,Ciliary function
IFT20,ENSG00000109083,intraflagellar transport 20 [Source:HGNC Symbol;Acc:HGNC:30989],NA,614394,"Component of IFT complex B that functions as a link between IFT complex and kinesin II, binding to both IFT57 and KIF3B, making it essential for anterograde transport in cilia and flagella (12821668). Required for ciliary assembly and localisation of polycystin-2 and opsin to cilia (16775004). Essential for spermiogenesis and male fertility (27682589).","cilia, basal body, Golgi",30940671; 31953262.,Intraflagellar transport complex B; Intraflagellar transport complex B peripheral subcomplex; Pericentrin complex,NA
IFT22,ENSG00000128581,intraflagellar transport 22 [Source:HGNC Symbol;Acc:HGNC:21895],CFAP9; DKFZP761N0823; FAP9; FLJ13225; FLJ14117; RABL5,620505,"Also known as RABL5, component of IFT complex B. Controls the cellular levels of both IFT鈥怉 and IFT鈥怋 proteins and to regulate availability of particles participating in IFT (30940671). Recruitment of BBSome to the basal body through BBS3 and regulation of BBSome entry into the cilia (31953262).","cilia, basal body,flagella",25443296; 25446516; 24843028,Intraflagellar transport complex B,NA
IFT25,ENSG00000081870,intraflagellar transport 25 [Source:HGNC Symbol;Acc:HGNC:25019],C1ORF41; CFAP232; FAP232; HSPB11; HSPCO34; PP25,620841,"Also known as IFT25. Not required in ciliogenesis of somatic cells. Component of IFT-B complex and maight be involved in retrograde transport. Interacts with IFT27 and is indispensable for sperm flagellum axoneme formation, integrity and stability in mice, as well as contributing to the trafficking of sig lling molecules via BBSome complex. (28430876, 28964737, 30709917). Regulation of ciliary trafficking of Hh pathway components, including Patched-1, Smoothened, and Gli2 (26023097, 22595669).",cilia,10924708; 28931427; 10432491,Intraflagellar transport complex B,NA
IFT27,ENSG00000100360,intraflagellar transport 27 [Source:HGNC Symbol;Acc:HGNC:18626],BBS19; CFAP156; FAP156; RABL4; RAYL,615870,"Also known as RABL4, component of IFT complex B. Forms a complex with IFT25 and associates with IFT-B inside cilia, interacts with and stabilises the nucleotide-free form of ARL6 to promote the exit of BBSome out of cilia. Mutated in Bardet-Biedl syndrome (25443296). Required for BBSome trafficking essential for hedgehog sig ling. IFT25/IFT27 complex plays a role in transporting Gli2 to the ciliary tip (25446516). Role in the cargo loading of the retrograde transport machinery (24843028).","basal body, cilia",28973684; 28207750,Intraflagellar transport complex B,Ciliary function
IFT43,ENSG00000119650,intraflagellar transport 43 [Source:HGNC Symbol;Acc:HGNC:29669],C14ORF179; FLJ32173; MGC16028,614068,"Component of IFT complex A. Mutations leads to abnormal ciliogenesis (28973684). Interacts with IFT121 to regulate stability of IFT-A, and is essential for ciliogenesis. Involved in transporting ciliary precursors from the cytoplasmic pool to the peri-basal body region (28207750)","basal body, cilia",25722189; 29915351; 28701346,NA,Ciliary function
IFT46,ENSG00000118096,intraflagellar transport 46 [Source:HGNC Symbol;Acc:HGNC:26146],C11ORF2; C11ORF60; CFAP32; FAP32; FLJ21827,620506,"Component of IFT complex B, required for ciliogenesis and controls cilia number and length (25722189). Plas a role in the transport of IFT proteins between the cytoplasm and cilia (29915351). IFT46 is crucial for transport of ODA16 into the flagellum; it interacts with IFT52 to assembly a subcomplex which is a prerequisite for the assembly of IFT-B1 (28701346).","basal body, cilia",27466190; 28302912,Intraflagellar transport complex B,Ciliary function
IFT52,ENSG00000101052,intraflagellar transport 52 [Source:HGNC Symbol;Acc:HGNC:15901],C20ORF9; CGI-53; DJ1028D15.1; NGD2; NGD5,617094,"Component of IFT complex B. Essential for anterograde complex integrity, biosynthesis and mainte nce of cilia. Regulation of ciliogenesis and cilia length; it also plays a role as a docking site for complex B proteins attaching to the transition fibres of the basal bodies and is required for localization of the IFT-B complex proteins (27466190). Recruits and interacts with IFT46 to assembly a subcomplex which is a prerequisite for the assembly of IFT-B1, it is also required to localise IFT46 to the basal body (28302912).","basal body, cilia",18492793; 28104816,Intraflagellar transport complex B,Ciliary function
IFT56,ENSG00000105948,intraflagellar transport 56 [Source:HGNC Symbol;Acc:HGNC:21882],DYF-13; DYF13; FLJ12571; TTC26,617453,"Also known as IFT56. Regulates normal levels and distribution of IFTB proteins in the cilia. Required for the accumulation of Gli2 and Gli3 at the distal tips of cilia; essential for normal microtubule architecture within the ciliary axoneme and trafficking of Shh sig ling proteins. IFT56 associates with motility factors, function results in impaired motility (28264835). Required for normal development and differentiation in reti  and pronephros (22718903). Role in transporting ciliary cargoes related to ciliary motility and for assembling cilia of full length (24596149). Forms a dimer with IFT46, responsible for the interaction of IFT-B with ARL13B (27927754).","cilia, basal body",17981992; 31735294,Intraflagellar transport complex B,Ciliary function
